date,10,20,16,24,39,80,131,84,138,35,21,83,13,38,85,22,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2019-11-18,318.0,152.0,103.0,78.0,61.0,68.0,98.0,64.0,103.0,48.0,67.0,43.0,53.0,61.0,38.0,53.0,47.0,168.0,56400.0,14.0,14.0,46830.19,33.47,13643.0,1287.88,26918.0
2019-11-25,532.0,211.0,231.0,176.0,63.0,102.0,170.0,86.0,202.0,76.0,104.0,53.0,76.0,76.0,50.0,90.0,49.0,48.0,74400.0,15.0,15.0,46814.1,16.29,15372.0,1036.57,26565.0
2019-12-02,652.0,306.0,215.0,169.0,82.0,123.0,184.0,83.0,195.0,80.0,122.0,63.0,96.0,76.0,50.0,72.0,44.0,0.0,70800.0,14.0,15.0,47064.71,22.59,12690.0,1062.16,42893.0
2019-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57600.0,13.0,13.0,47017.11,15.14,12732.0,1521.27,40198.0
2019-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,46764.53,10.19,13236.0,1445.97,34764.0
2019-12-23,178.0,101.0,67.0,70.0,19.0,36.0,30.0,25.0,31.0,44.0,34.0,10.0,50.0,14.0,18.0,32.0,8.0,504.0,0.0,16.0,15.0,47181.34,9.620000000000001,12793.0,1179.92,31418.0
2019-12-30,977.0,466.0,190.0,221.0,106.0,185.0,232.0,111.0,226.0,228.0,214.0,80.0,167.0,89.0,89.0,138.0,46.0,2688.0,178800.0,17.0,16.0,46584.16,6.78,12155.0,922.63,33909.0
2020-01-06,778.0,372.0,1.0,15.0,117.0,153.0,274.0,38.0,266.0,205.0,113.0,77.0,195.0,88.0,68.0,114.0,50.0,2112.0,261600.0,20.0,18.0,46673.8,12.3,13216.0,1190.19,41724.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,24000.0,17.0,18.0,47104.85,24.52,14042.0,1362.84,38606.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,47077.65,15.61,11506.0,1404.21,39876.0
