Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
02.05.2021;NS;13:00:00;SP4;SHD;15:00:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
04.05.2021;NS;14:15:00;SP4;SP+;15:45:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
04.05.2021;SP+;19:00:00;SP1;NS;19:40:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
04.05.2021;NS;14:15:00;SP4;SHD;16:15:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
08.05.2021;NS;11:00:00;SP4;SHD;13:00:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
13.05.2021;NS;11:15:00;SP2;SP+;12:45:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
13.05.2021;SP+;16:15:00;SP1;NS;16:55:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
15.05.2021;NS;11:15:00;SP4;SP+;12:45:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
15.05.2021;SP+;16:00:00;SP2;NS;16:40:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
15.05.2021;NS;11:15:00;SP4;SHD;13:15:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
16.05.2021;NS;12:45:00;SP2;SP+;14:15:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
16.05.2021;SP+;17:25:00;SP1;NS;18:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
20.05.2021;NS;14:30:00;SP4;SP+;16:00:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
20.05.2021;SP+;19:25:00;SP1;NS;20:05:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
20.05.2021;NS;14:30:00;SP4;SHD;16:30:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
23.05.2021;NS;09:45:00;SP4;SHD;11:45:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
24.05.2021;NS;11:00:00;SP4;SHD;13:00:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
26.05.2021;NS;12:45:00;SP4;SHD;14:45:00;4;Seehundbänkefahrt;1;1;0;1;1;;1;0;Banderole 1;0
29.05.2021;NS;12:00:00;SP2;SP+;13:30:00;4;Seehundsbänke mit Inselaufenthalt;0;1;0;1;1;;1;0;Banderole 1;0
29.05.2021;SP+;17:00:00;SP1;NS;17:40:00;4;Rückfahrt;0;1;0;1;1;;1;1;Banderole 1;0
