Verkehrstage;Starthafen;Abfahrt;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
16.03.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
16.03.2023;NS;15:00:00;SP4;SP;15:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
17.03.2023;NS;06:10:00;SP4;SP;06:50:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
20.03.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
20.03.2023;NS;11:15:00;SP4;SP;11:55:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
21.03.2023;NS;08:15:00;SP4;SP;08:55:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
21.03.2023;NS;12:15:00;SP4;SP;12:55:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
22.03.2023;NS;08:40:00;SP4;SP;09:20:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
23.03.2023;NS;09:10:00;SP4;SP;09:50:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
23.03.2023;NS;13:30:00;SP4;SP;14:10:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
24.03.2023;NS;09:45:00;SP4;SP;10:25:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
25.03.2023;NS;10:45:00;SP4;SP;11:25:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
27.03.2023;NS;06:20:00;SP4;SP;07:00:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
27.03.2023;NS;14:00:00;SP4;SP;14:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
28.03.2023;NS;06:45:00;SP4;SP;07:25:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
28.03.2023;NS;15:00:00;SP4;SP;15:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
29.03.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
30.03.2023;NS;06:10:00;SP4;SP;06:50:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
30.03.2023;NS;14:00:00;SP4;SP;14:40:00;1;Fahrplan 2023;0;10;0;0;0;;0;0;Banderole 1;0
31.03.2023;NS;07:15:00;SP4;SP;07:55:00;1;Fahrplan 2023;0;10;1;1;1;;1;0;Banderole 1;0
01.04.2023;NS;07:10:00;SP4;SP;07:50:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
03.04.2023;NS;07:40:00;SP4;SP;08:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
03.04.2023;NS;12:00:00;SP4;SP;12:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
04.04.2023;NS;08:15:00;SP4;SP;08:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
04.04.2023;NS;12:15:00;SP4;SP;12:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
05.04.2023;NS;09:00:00;SP4;SP;09:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
06.04.2023;NS;09:30:00;SP4;SP;10:10:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
06.04.2023;NS;13:30:00;SP4;SP;14:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
08.04.2023;NS;10:40:00;SP4;SP;11:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
11.04.2023;NS;05:45:00;SP4;SP;06:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
11.04.2023;NS;14:15:00;SP4;SP;14:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
