date,10,20,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2020-01-06,785.0,376.0,41.0,2112.0,261600.0,20.0,18.0,46673.8,12.3,13216.0,1190.19,41724.0
2020-01-13,0.0,0.0,0.0,120.0,24000.0,17.0,18.0,47104.85,24.52,14042.0,1362.84,38606.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,11.0,11.0,47077.65,15.61,11506.0,1404.21,39876.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,13.0,13.0,46654.14,6.31,14993.0,1018.88,39008.0
2020-02-03,0.0,0.0,0.0,120.0,0.0,15.0,15.0,47143.56,40.62,15021.0,1526.01,41108.0
2020-02-10,0.0,0.0,0.0,480.0,0.0,16.0,15.0,46985.96,28.83,10357.0,1398.4,39955.0
2020-02-17,0.0,0.0,0.0,576.0,0.0,14.0,14.0,47014.14,46.96,13336.0,1836.04,37785.0
2020-02-24,306.0,184.0,18.0,504.0,67200.0,16.0,16.0,47004.66,48.55,13540.0,1803.07,40944.0
2020-03-02,336.0,170.0,31.0,144.0,124800.0,15.0,17.0,46771.47,30.17,12534.0,1368.11,38711.0
2020-03-09,270.0,134.0,24.0,288.0,93600.0,14.0,14.0,46933.27,12.05,11353.0,1078.16,32992.0
2020-03-16,319.0,176.0,29.0,96.0,62400.0,15.0,15.0,47200.75,16.97,9891.0,1432.46,39929.0
2020-03-23,171.0,75.0,25.0,0.0,0.0,18.0,17.0,46854.95,3.0700000000000003,8602.0,1129.53,25928.0
2020-03-30,0.0,0.0,0.0,48.0,0.0,19.0,18.0,46465.47,2.45,5306.0,1225.69,21572.0
2020-04-06,0.0,0.0,0.0,576.0,0.0,23.0,24.0,47165.04,2.14,4359.0,1100.87,35517.0
2020-04-13,0.0,0.0,0.0,2184.0,0.0,25.0,24.0,47455.11,0.6699999999999999,8844.0,796.19,31187.0
2020-04-20,0.0,0.0,0.0,1440.0,0.0,23.0,21.0,47326.38,0.28,5670.0,1106.46,23271.0
2020-04-27,0.0,0.0,0.0,96.0,0.0,15.0,18.0,47663.23,0.0,5217.0,994.29,31724.0
2020-05-04,0.0,0.0,0.0,0.0,0.0,20.0,20.0,47505.01,25.3,10784.0,861.95,35365.0
2020-05-11,0.0,0.0,0.0,24.0,33600.0,16.0,17.0,47580.18,0.12,6301.0,882.2,36345.0
2020-05-18,193.0,72.0,17.0,48.0,117600.0,19.0,17.0,47559.05,4.52,8856.0,1131.92,43614.0
2020-05-25,1165.0,507.0,52.0,432.0,348000.0,22.0,22.0,48218.37,7.58,11758.0,956.24,37133.0
2020-06-01,968.0,490.0,52.0,216.0,451200.0,22.0,24.0,48131.24,0.0,7809.0,851.63,19987.0
2020-06-08,1724.0,810.0,60.0,384.0,420000.0,22.0,22.0,48193.28,20.56,12488.0,963.7,29851.0
2020-06-15,1288.0,738.0,60.0,240.0,439200.0,26.0,24.0,48573.62,29.03,12485.0,864.82,18355.0
2020-06-22,1005.0,708.0,58.0,24.0,403200.0,24.0,23.0,48820.03,15.35,10764.0,608.36,40473.0
2020-06-29,1282.0,676.0,54.0,576.0,412800.0,24.0,23.0,49109.62,9.5,7064.0,839.04,25888.0
2020-07-06,1610.0,775.0,48.0,1080.0,462000.0,32.0,26.0,48568.91,41.24,12757.0,1305.48,41127.0
2020-07-13,2312.0,1052.0,57.0,1512.0,526800.0,30.0,27.0,48165.1,28.62,10365.0,860.98,38449.0
2020-07-20,2331.0,1076.0,58.0,1920.0,597600.0,29.0,28.0,48691.270000000004,11.46,10447.0,551.04,36196.0
2020-07-27,2577.0,1395.0,61.0,2376.0,628800.0,29.0,32.0,48695.92,20.05,11197.0,888.13,41573.0
2020-08-03,2288.0,1207.0,57.0,2592.0,633600.0,30.0,26.0,48812.88,3.4,10156.0,982.78,39123.0
