Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
02.07.2019;NS;09:30:00;SP1;SP+;11:00:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
03.07.2019;NS;10:00:00;SP2;WAT;14:00:00;4;Rund um Spiekeroog;1;1;0;1;1;;1;0;Banderole 1;0
05.07.2019;NS;11:45:00;SP2;SP+;13:15:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
07.07.2019;NS;13:15:00;SP2;SP+;14:45:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
09.07.2019;NS;15:00:00;SP2;SP+;16:30:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
16.07.2019;NS;09:30:00;SP1;SHD;12:00:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
16.07.2019;NS;09:30:00;SP1;SP+;11:00:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
18.07.2019;NS;11:00:00;SP2;WAT;15:00:00;4;Rund um Spiekeroog;1;1;0;1;1;;1;0;Banderole 1;0
19.07.2019;NS;11:45:00;SP2;SP+;13:15:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
21.07.2019;NS;12:45:00;SP2;SP+;14:15:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
23.07.2019;NS;13:45:00;SP2;WAT;17:45:00;4;Rund um Spiekeroog;1;1;0;1;1;;1;0;Banderole 1;0
24.07.2019;NS;14:15:00;SP2;SP+;15:45:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
26.07.2019;NS;14:15:00;SP1;SP+;15:45:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
30.07.2019;NS;11:00:00;SP4;SHD;13:30:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
31.07.2019;NS;09:30:00;SP2;WAT;13:30:00;4;Rund um Spiekeroog;1;1;0;1;1;;1;0;Banderole 1;0
01.08.2019;NS;09:30:00;SP1;SHD;12:00:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
01.08.2019;NS;09:30:00;SP1;SP+;11:00:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
04.08.2019;NS;12:15:00;SP2;SP+;13:45:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
06.08.2019;NS;13:45:00;SP2;WAT;17:45:00;4;Rund um Spiekeroog;1;1;0;1;1;;1;0;Banderole 1;0
07.08.2019;NS;14:30:00;SP2;SP+;16:00:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
13.08.2019;NS;11:30:00;SP4;SHD;14:00:00;4;Seehundsbänke;1;1;0;1;1;;1;0;Banderole 1;0
14.08.2019;NS;09:45:00;SP2;WAT;13:45:00;4;Rund um Spiekeroog;1;1;0;1;1;;1;0;Banderole 1;0
16.08.2019;NS;10:45:00;SP2;SP+;12:15:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
18.08.2019;NS;11:45:00;SP2;SP+;13:15:00;4;Seehundsbänke + Insel;0;1;0;1;1;;1;0;Banderole 1;0
20.08.2019;NS;12:45:00;SP2;WAT;16:45:00;4;Rund um Spiekeroog;1;1;0;1;1;;1;0;Banderole 1;0
