Verkehrstage;Starthafen;Abfahrt;SchSP1ff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
13.04.2023;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
14.04.2023;NS;08:40:00;SP2;SP;09:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
14.04.2023;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
15.04.2023;NS;09:45:00;SP2;SP;10:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
06.05.2023;NS;10:40:00;SP2;SP;11:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
06.05.2023;NS;15:40:00;SP2;SP;16:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
07.05.2023;NS;11:15:00;SP2;SP;11:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
07.05.2023;NS;16:15:00;SP2;SP;16:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
08.05.2023;NS;11:40:00;SP2;SP;12:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
08.05.2023;NS;16:40:00;SP2;SP;17:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
09.05.2023;NS;17:15:00;SP2;SP;17:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
10.05.2023;NS;13:15:00;SP2;SP;13:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
10.05.2023;NS;18:10:00;SP2;SP;18:50:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
11.05.2023;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
12.05.2023;NS;13:40:00;SP2;SP;14:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
12.05.2023;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
13.05.2023;NS;08:40:00;SP2;SP;09:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
13.05.2023;NS;17:40:00;SP2;SP;18:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
14.05.2023;NS;09:40:00;SP2;SP;10:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
14.05.2023;NS;17:40:00;SP2;SP;18:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
15.05.2023;NS;10:40:00;SP2;SP;11:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
15.05.2023;NS;18:40:00;SP2;SP;19:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
17.05.2023;NS;19:00:00;SP2;SP;19:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
18.05.2023;NS;11:15:00;SP2;SP;11:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
18.05.2023;NS;21:00:00;SP2;SP;21:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
19.05.2023;NS;15:00:00;SP2;SP;15:40:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
20.05.2023;NS;10:40:00;SP2;SP;12:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
21.05.2023;NS;11:40:00;SP2;SP;12:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
21.05.2023;NS;16:15:00;SP2;SP;16:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
22.05.2023;NS;11:40:00;SP2;SP;12:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
22.05.2023;NS;16:40:00;SP2;SP;17:20:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
25.05.2023;NS;13:15:00;SP2;SP;13:55:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
25.05.2023;NS;18:15:00;SP2;SP;18:55:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
26.05.2023;NS;13:40:00;SP2;SP;15:10:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
26.05.2023;NS;19:00:00;SP2;SP;19:40:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
27.05.2023;NS;13:45:00;SP2;SP;14:25:00;1;Fahrplan 2023;0;1;1;1;1;;1;0;Banderole 1;0
27.05.2023;NS;19:40:00;SP2;SP;20:20:00;1;Fahrplan 2023;0;1;0;0;0;;0;0;Banderole 1;0
