date,10,11,12,13,16,20,21,22,23,24,27,28,29,31,32,35,38,39,80,82,83,84,85,86,97,98,99,105,107,111,112,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2019-03-29,136.0,20.0,16.0,15.0,78.0,25.0,35.0,22.0,15.0,0.0,4.0,7.0,7.0,3.0,7.0,32.0,13.0,21.0,24.0,14.0,18.0,22.0,0.0,25.0,1.0,3.0,1.0,8.0,14.0,0.0,10.0,8.0,0.0,24000.0,3.0,3.0,6788.49,0.0,872.0,75.17999999999999,5821.0
2019-03-30,175.0,19.0,16.0,41.0,92.0,37.0,47.0,40.0,14.0,20.0,8.0,8.0,10.0,7.0,7.0,43.0,15.0,20.0,57.0,12.0,25.0,10.0,0.0,31.0,5.0,7.0,2.0,8.0,0.0,0.0,16.0,8.0,0.0,24000.0,3.0,2.0,6770.320000000001,0.0,1097.0,84.39,5644.0
2019-03-31,203.0,8.0,12.0,27.0,35.0,68.0,41.0,25.0,13.0,38.0,3.0,0.0,8.0,7.0,13.0,53.0,10.0,16.0,54.0,10.0,21.0,8.0,0.0,21.0,1.0,6.0,0.0,5.0,0.0,0.0,7.0,8.0,0.0,24000.0,2.0,2.0,6440.780000000001,0.0,1527.0,141.59,3241.0
2019-04-01,106.0,13.0,7.0,28.0,43.0,28.0,9.0,31.0,10.0,76.0,4.0,4.0,6.0,3.0,3.0,41.0,13.0,9.0,32.0,8.0,16.0,17.0,0.0,19.0,4.0,1.0,1.0,4.0,5.0,0.0,0.0,8.0,0.0,24000.0,3.0,3.0,6704.59,0.0,258.0,137.37,2254.0
2019-04-02,110.0,6.0,7.0,22.0,26.0,30.0,67.0,23.0,7.0,35.0,3.0,4.0,6.0,3.0,5.0,32.0,43.0,18.0,25.0,14.0,12.0,12.0,0.0,19.0,6.0,3.0,1.0,0.0,2.0,15.0,0.0,8.0,0.0,24000.0,2.0,2.0,6766.02,1.9,1137.0,163.62,3393.0
2019-04-03,119.0,8.0,9.0,14.0,24.0,32.0,25.0,20.0,12.0,17.0,5.0,6.0,6.0,3.0,5.0,31.0,12.0,18.0,23.0,5.0,12.0,12.0,0.0,24.0,2.0,1.0,3.0,0.0,6.0,10.0,0.0,8.0,0.0,24000.0,2.0,2.0,6748.09,4.78,2272.0,76.79,2972.0
2019-04-04,95.0,10.0,7.0,13.0,28.0,41.0,22.0,15.0,10.0,24.0,5.0,1.0,4.0,5.0,5.0,37.0,13.0,20.0,31.0,8.0,11.0,0.0,0.0,20.0,1.0,1.0,3.0,6.0,7.0,0.0,0.0,7.0,24.0,24000.0,2.0,2.0,6711.44,9.62,2395.0,63.41,6775.0
2019-04-05,100.0,10.0,11.0,23.0,29.0,49.0,25.0,20.0,10.0,24.0,5.0,4.0,4.0,4.0,1.0,28.0,13.0,15.0,26.0,9.0,16.0,24.0,0.0,22.0,8.0,3.0,1.0,5.0,8.0,0.0,8.0,8.0,24.0,28800.0,3.0,3.0,6727.55,7.4799999999999995,2250.0,117.03,7409.0
2019-04-06,97.0,10.0,4.0,14.0,44.0,49.0,26.0,17.0,9.0,34.0,3.0,6.0,6.0,5.0,6.0,28.0,12.0,25.0,26.0,7.0,10.0,15.0,0.0,22.0,5.0,4.0,1.0,7.0,8.0,0.0,7.0,9.0,48.0,28800.0,3.0,3.0,6805.15,0.0,1181.0,97.77,2228.0
2019-04-07,210.0,13.0,9.0,38.0,63.0,92.0,24.0,21.0,9.0,68.0,10.0,6.0,3.0,6.0,6.0,56.0,13.0,24.0,52.0,12.0,12.0,19.0,0.0,20.0,8.0,5.0,3.0,6.0,8.0,0.0,8.0,9.0,48.0,28800.0,2.0,2.0,6857.46,0.0,201.0,116.62,1715.0
