date,10,20,16,24,39,80,131,84,138,35,21,83,13,38,85,22,82,86,112,11,31,111,27,28,32,23,134,12,107,29,57,132,is_open,holidays,gaestezahlen,arrival,departure,temperature,precipitation,cloud_cover,wind_speed,wind_direction
2019-06-12,295.0,70.0,152.0,132.0,38.0,101.0,131.0,47.0,88.0,39.0,36.0,33.0,18.0,9.0,28.0,14.0,23.0,39.0,28.0,22.0,11.0,13.0,12.0,14.0,10.0,7.0,20.0,15.0,10.0,3.0,10.0,15.0,9.0,48.0,79200.0,3.0,3.0,6911.83,11.52,1444.0,101.07,2215.0
2019-06-13,149.0,69.0,53.0,68.0,31.0,58.0,42.0,54.0,48.0,42.0,4.0,23.0,34.0,28.0,26.0,26.0,25.0,42.0,9.0,18.0,6.0,0.0,9.0,8.0,1.0,5.0,10.0,8.0,8.0,7.0,6.0,13.0,9.0,48.0,76800.0,3.0,2.0,6953.72,0.0,730.0,149.6,4636.0
2019-06-14,135.0,49.0,59.0,49.0,71.0,59.0,98.0,24.0,79.0,57.0,34.0,8.0,23.0,40.0,13.0,19.0,35.0,20.0,30.0,14.0,11.0,18.0,5.0,7.0,9.0,19.0,31.0,9.0,0.0,6.0,10.0,7.0,9.0,48.0,72000.0,3.0,3.0,6978.93,0.78,1182.0,97.18,2727.0
2019-06-15,163.0,63.0,50.0,33.0,65.0,51.0,55.0,37.0,47.0,77.0,24.0,23.0,16.0,46.0,19.0,22.0,32.0,23.0,34.0,24.0,5.0,18.0,21.0,16.0,15.0,20.0,23.0,13.0,7.0,5.0,8.0,29.0,9.0,48.0,72000.0,3.0,3.0,6953.96,7.4,1703.0,133.45,3909.0
2019-06-16,172.0,58.0,56.0,17.0,66.0,61.0,46.0,32.0,49.0,52.0,37.0,11.0,16.0,37.0,15.0,22.0,17.0,23.0,26.0,20.0,9.0,24.0,6.0,5.0,11.0,18.0,7.0,12.0,0.0,7.0,5.0,20.0,9.0,48.0,72000.0,3.0,2.0,6937.89,3.49,1121.0,68.61,5555.0
2019-06-17,307.0,65.0,105.0,93.0,8.0,53.0,51.0,40.0,29.0,56.0,98.0,20.0,16.0,27.0,16.0,20.0,25.0,25.0,29.0,27.0,10.0,23.0,10.0,4.0,5.0,9.0,11.0,28.0,8.0,6.0,10.0,14.0,9.0,48.0,72000.0,2.0,3.0,6993.23,0.0,643.0,87.37,3350.0
2019-06-18,209.0,44.0,78.0,49.0,15.0,58.0,29.0,37.0,41.0,61.0,23.0,31.0,7.0,38.0,23.0,11.0,18.0,30.0,22.0,11.0,8.0,22.0,10.0,7.0,6.0,7.0,21.0,12.0,12.0,7.0,10.0,10.0,9.0,48.0,72000.0,2.0,2.0,7023.81,0.95,1901.0,72.14,4392.0
2019-06-19,149.0,46.0,62.0,58.0,44.0,54.0,48.0,34.0,59.0,29.0,24.0,22.0,16.0,29.0,16.0,18.0,15.0,22.0,23.0,13.0,13.0,22.0,7.0,2.0,10.0,7.0,0.0,4.0,10.0,7.0,8.0,14.0,9.0,48.0,72000.0,4.0,4.0,7030.28,2.98,1611.0,71.49,3944.0
2019-06-20,215.0,48.0,57.0,55.0,76.0,53.0,59.0,35.0,69.0,44.0,33.0,27.0,24.0,15.0,22.0,18.0,28.0,43.0,26.0,18.0,9.0,22.0,14.0,0.0,10.0,8.0,15.0,13.0,10.0,9.0,6.0,33.0,9.0,96.0,72000.0,3.0,4.0,6954.56,0.8500000000000001,1755.0,103.76,6489.0
2019-06-21,298.0,64.0,62.0,43.0,73.0,61.0,61.0,32.0,41.0,63.0,32.0,27.0,33.0,21.0,24.0,30.0,29.0,43.0,27.0,12.0,8.0,48.0,9.0,6.0,6.0,9.0,10.0,7.0,10.0,5.0,8.0,15.0,9.0,96.0,72000.0,3.0,4.0,6932.12,1.73,747.0,103.64,6404.0
